"easting","northing","npoints","id","date","dist"
274415.041810638,5802093.74107136,17,"Athena","2023-06-10",82.271698381086
274464.846625708,5802159.22475444,36,"Athena","2023-06-10",82.271698381086
274469.017482228,5802056.46409566,21,"Athena","2023-06-11",61.0105442755195
274480.084950148,5802070.0738418,16,"Athena","2023-06-12",23.1055322267651
274529.421643157,5802224.43287156,22,"Athena","2023-06-13",40.2650466164295
274549.882636379,5802214.17186472,34,"Athena","2023-06-14",28.4809067425336
274491.703423705,5802054.47212828,25,"Athena","2023-06-15",270.709832229339
274580.330681953,5802310.26310225,25,"Athena","2023-06-15",270.709832229339
274501.33759906,5802087.12389897,22,"Athena","2023-06-16",113.024103037596
274564.452498307,5802180.88400435,21,"Athena","2023-06-16",113.024103037596
274663.851438302,5802344.01983003,17,"Athena","2023-06-17",83.6903394337975
274592.406453292,5802300.43443074,127,"Athena","2023-06-17",83.6903394337975
274610.750963267,5802296.45265882,23,"Athena","2023-06-18",104.055904980272
274649.148963161,5802199.74058633,43,"Athena","2023-06-18",104.055904980272
274657.991800447,5802310.0650454,51,"Athena","2023-06-19",197.630748490151
274503.986604743,5802186.20903043,30,"Athena","2023-06-19",197.630748490151
274416.56920226,5802078.12579204,19,"Athena","2023-06-20",152.702351041775
274523.190998437,5802187.44093552,176,"Athena","2023-06-20",152.702351041775
274586.759486994,5802189.79665694,25,"Athena","2023-06-21",222.087443283972
274371.752881197,5802134.1640053,214,"Athena","2023-06-21",222.087443283972
274545.840625758,5802219.76630646,27,"Athena","2023-06-22",80.5805884332024
274465.405734734,5802214.92280173,49,"Athena","2023-06-22",80.5805884332024
274457.282281451,5802225.26693252,31,"Athena","2023-06-23",63.7935930576837
274521.07420825,5802224.80585715,17,"Athena","2023-06-23",63.7935930576837
274468.192148104,5802219.68416785,136,"Athena","2023-06-24",95.4047352255435
274402.887075011,5802123.80253402,60,"Athena","2023-06-25",96.1744759554531
274486.677777308,5802076.59397512,26,"Athena","2023-06-25",96.1744759554531
274465.799424524,5802227.90887712,37,"Athena","2023-06-26",61.9654063153692
274515.884035443,5802191.42266974,30,"Athena","2023-06-26",61.9654063153692
274509.927969991,5802200.11074833,79,"Athena","2023-06-27",34.8636006248149
274543.324922108,5802210.11645859,86,"Athena","2023-06-27",34.8636006248149
274561.022723417,5802120.13708868,39,"Athena","2023-06-28",28.0106189787241
274512.463609405,5802136.7832121,48,"Athena","2023-06-29",58.5380002832231
274565.203287965,5802111.38195657,19,"Athena","2023-06-29",58.5380002832231
274591.88598022,5802192.08235187,18,"Athena","2023-06-30",61.6824200191206
274559.684027404,5802139.47289289,44,"Athena","2023-06-30",61.6824200191206
274567.983044144,5802138.30029308,47,"Athena","2023-07-01",75.6508750208538
274562.760038834,5802137.33902279,30,"Athena","2023-07-02",71.446611778604
274602.121484206,5802196.96531693,24,"Athena","2023-07-02",71.446611778604
275041.761611086,5801632.35452617,27,"Athena","2023-07-03",41.7984516566015
274561.854746703,5802103.43823042,17,"Athena","2023-07-04",26.3650692980784
274553.527157227,5802089.41373954,29,"Athena","2023-07-05",280.566156621363
274594.723317752,5802167.08917818,22,"Athena","2023-07-06",73.455299997907
274635.151233856,5802202.00443648,30,"Athena","2023-07-07",66.1292956734022
274698.42057493,5802221.24174987,97,"Athena","2023-07-07",66.1292956734022
274675.893940996,5802207.80088163,201,"Athena","2023-07-08",23.9682496241766
274692.336529536,5802210.46578194,32,"Athena","2023-07-09",45.5269517305994
274648.596965809,5802197.83431731,17,"Athena","2023-07-09",45.5269517305994
274669.140587255,5802204.32941208,113,"Athena","2023-07-10",153.026065154073
274664.87453015,5802197.16827706,92,"Athena","2023-07-11",135.921067728482
274682.239818867,5802226.79480447,151,"Athena","2023-07-12",87.9279148181523
274676.540875393,5802217.64089183,55,"Athena","2023-07-13",32.7483101527929
274708.929593377,5802212.80118469,17,"Athena","2023-07-13",32.7483101527929
274670.089722613,5802220.55560438,68,"Athena","2023-07-14",70.9707526821789
274479.370087906,5802196.69527533,24,"Athena","2023-07-15",51.5882328172837
274510.933600951,5802237.50079468,22,"Athena","2023-07-15",51.5882328172837
274410.749564489,5802085.42432262,38,"Athena","2023-07-16",286.138102736219
274667.932324864,5802205.2359888,45,"Athena","2023-07-17",128.90479988458
274686.063894806,5802170.85265384,28,"Athena","2023-07-18",209.936510959547
274671.539664347,5802380.28614057,61,"Athena","2023-07-18",209.936510959547
274420.504196648,5802078.95507434,81,"Athena","2023-07-19",185.784091009671
274424.524567985,5802062.98868557,57,"Athena","2023-07-20",82.0304204013436
274610.509614214,5802150.88570113,262,"Athena","2023-07-21",57.834544629227
274671.824850293,5802200.88989616,107,"Athena","2023-07-22",72.4046252848427
274709.132066872,5802237.46890324,27,"Athena","2023-07-23",53.3358872638561
274684.10002511,5802190.37204819,50,"Athena","2023-07-23",53.3358872638561
274675.764380723,5802206.17406922,102,"Athena","2023-07-24",19.690702408485
274664.540628729,5802267.45305785,27,"Athena","2023-07-25",61.1147627458182
