"","id","area","date"
"Athena","Athena",0.1689080078125,2023-06-09
"Athena1","Athena",1.33312734375,2023-06-10
"Athena2","Athena",1.98687954101563,2023-06-11
"Athena3","Athena",1.00422281494141,2023-06-12
"Athena4","Athena",2.96707834472656,2023-06-13
"Athena5","Athena",2.54259532470703,2023-06-14
"Athena6","Athena",5.05188424072266,2023-06-15
"Athena7","Athena",3.66568271484375,2023-06-16
"Athena8","Athena",3.89161341552734,2023-06-17
"Athena9","Athena",3.19514588623047,2023-06-18
"Athena10","Athena",6.44993175048828,2023-06-19
"Athena11","Athena",4.14892723388672,2023-06-20
"Athena12","Athena",5.48944466552734,2023-06-21
"Athena13","Athena",8.36220933837891,2023-06-22
"Athena14","Athena",10.4153711181641,2023-06-23
"Athena15","Athena",6.50643046875,2023-06-24
"Athena16","Athena",7.65571975097656,2023-06-25
"Athena17","Athena",7.91491782226563,2023-06-26
"Athena18","Athena",3.40284936523437,2023-06-27
"Athena19","Athena",5.97770059814453,2023-06-28
"Athena20","Athena",7.36461944580078,2023-06-29
"Athena21","Athena",5.55114705810547,2023-06-30
"Athena22","Athena",5.91513752441406,2023-07-01
"Athena23","Athena",5.9940236328125,2023-07-02
"Athena24","Athena",4.21756086425781,2023-07-03
"Athena25","Athena",13.1163540405273,2023-07-04
"Athena26","Athena",6.5719158203125,2023-07-05
"Athena27","Athena",14.4120691040039,2023-07-06
"Athena28","Athena",8.04863006591797,2023-07-07
"Athena29","Athena",4.28449913330078,2023-07-08
"Athena30","Athena",10.0478067260742,2023-07-09
"Athena31","Athena",6.24676423339844,2023-07-10
"Athena32","Athena",7.22137806396484,2023-07-11
"Athena33","Athena",6.82097414550781,2023-07-12
"Athena34","Athena",7.50828923339844,2023-07-13
"Athena35","Athena",8.79126226806641,2023-07-14
"Athena36","Athena",16.0423579467773,2023-07-15
"Athena37","Athena",16.5323674560547,2023-07-16
"Athena38","Athena",11.4560559936523,2023-07-17
"Athena39","Athena",10.2589185791016,2023-07-18
"Athena40","Athena",17.8877658691406,2023-07-19
"Athena41","Athena",11.3023244140625,2023-07-20
"Athena42","Athena",4.62841370849609,2023-07-21
"Athena43","Athena",4.53661419677734,2023-07-22
"Athena44","Athena",8.19591452636719,2023-07-23
"Athena45","Athena",6.49463796386719,2023-07-24
"Athena46","Athena",9.39254030761719,2023-07-25
"Athena47","Athena",4.70144481201172,2023-07-26
"Athena48","Athena",4.78221899414063,2023-07-27
"Athena49","Athena",4.78674836425781,2023-07-28
