"x","y","npoints","id","date"
274456.378372154,5801881.64687062,73,"Aurora",2022-10-26
274422.203923986,5801875.08178368,81,"Aurora",2022-10-27
274568.946064006,5802209.97172319,79,"Aurora",2022-10-28
274358.114110165,5801839.72443318,79,"Aurora",2022-10-29
274673.00620393,5802366.42830191,78,"Aurora",2022-10-30
274364.134989005,5801856.58406782,80,"Aurora",2022-10-31
274308.832376013,5801895.22661594,85,"Aurora",2022-11-01
274330.8296206,5801878.66351692,89,"Aurora",2022-11-02
274518.221433849,5801920.76184261,89,"Aurora",2022-11-03
274477.018410235,5801879.59779014,90,"Aurora",2022-11-04
274541.278150038,5801885.61901444,94,"Aurora",2022-11-05
274534.463136435,5801882.19981241,96,"Aurora",2022-11-06
274528.136024563,5801888.47320074,92,"Aurora",2022-11-07
274493.49479271,5801873.9978142,90,"Aurora",2022-11-08
274525.191547354,5801881.10621321,96,"Aurora",2022-11-09
274525.876593803,5801883.59413046,92,"Aurora",2022-11-10
274495.677432328,5801925.24893113,83,"Aurora",2022-11-11
274486.046456613,5801938.35747075,83,"Aurora",2022-11-12
274517.101214366,5801895.61357964,84,"Aurora",2022-11-13
274493.803436168,5801933.3896306,78,"Aurora",2022-11-14
274489.92992187,5801931.26862267,86,"Aurora",2022-11-15
274485.239246443,5801913.69298145,95,"Aurora",2022-11-16
274496.616727808,5801934.27521107,95,"Aurora",2022-11-17
274481.52947978,5801917.42442981,89,"Aurora",2022-11-18
274469.767139908,5801833.87628342,89,"Aurora",2022-11-19
274498.007795104,5801857.28289777,92,"Aurora",2022-11-20
274500.024147496,5801863.14635701,93,"Aurora",2022-11-21
274486.03620703,5801813.90979992,92,"Aurora",2022-11-22
274480.801254309,5801818.27465214,91,"Aurora",2022-11-23
274479.76890552,5801813.26167143,90,"Aurora",2022-11-24
274497.979809323,5801860.3066565,93,"Aurora",2022-11-25
274478.828079975,5801822.95052836,91,"Aurora",2022-11-26
274422.203993968,5801845.95179233,94,"Aurora",2022-11-27
274435.88066621,5801879.29592602,84,"Aurora",2022-11-28
274463.139828697,5801882.81060592,89,"Aurora",2022-11-29
274470.993466187,5801836.25781285,88,"Aurora",2022-11-30
274431.777764709,5801859.30640657,84,"Aurora",2022-12-01
274432.659621276,5801856.11660444,95,"Aurora",2022-12-02
274434.400570437,5801849.27354243,89,"Aurora",2022-12-03
274434.877446609,5801856.86299097,86,"Aurora",2022-12-04
274911.467953397,5802549.84434333,92,"Aurora",2022-12-05
274434.685941661,5801855.36196403,90,"Aurora",2022-12-06
274431.802904282,5801852.94830373,96,"Aurora",2022-12-07
274422.607907354,5801851.10644635,96,"Aurora",2022-12-08
274426.813700799,5801851.2360978,98,"Aurora",2022-12-09
274490.07768644,5802146.41981699,93,"Aurora",2022-12-10
274490.409305808,5802146.80058522,87,"Aurora",2022-12-11
274478.339829166,5802122.67605332,88,"Aurora",2022-12-12
274531.672636564,5802138.71981976,90,"Aurora",2022-12-13
274525.713716384,5802123.70631553,94,"Aurora",2022-12-14
274537.395346345,5802279.38940002,97,"Aurora",2022-12-15
274525.625484225,5802277.1724795,90,"Aurora",2022-12-16
274515.320832713,5802257.24926267,99,"Aurora",2022-12-17
274518.922119472,5802258.96523491,98,"Aurora",2022-12-18
274587.916361194,5802277.82212663,90,"Aurora",2022-12-19
275254.630428261,5802890.23265829,88,"Aurora",2022-12-20
275243.329960799,5802911.78116509,89,"Aurora",2022-12-21
275250.673367832,5802892.25514957,90,"Aurora",2022-12-22
275247.549937009,5802909.37601345,91,"Aurora",2022-12-23
275248.073152587,5802904.66362971,93,"Aurora",2022-12-24
275242.738668469,5802892.55157629,87,"Aurora",2022-12-25
275240.966894626,5802893.27649768,83,"Aurora",2022-12-26
275252.613707984,5802893.3815567,83,"Aurora",2022-12-27
275263.092076683,5802902.21646253,88,"Aurora",2022-12-28
