"id","date_bird","state1","state2","state3","state4","total","state1p","state2p","state3p","state4p"
"Aurora","2022-10-25",0,105,0,0,105,0,1,0,0
"Robin","2022-10-25",79,22,0,0,101,0.782178217821782,0.217821782178218,0,0
"Aurora","2022-10-26",80,12,0,5,97,0.824742268041237,0.123711340206186,0,0.0515463917525773
"Robin","2022-10-26",0,66,3,0,69,0,0.956521739130435,0.0434782608695652,0
"Aurora","2022-10-27",36,33,8,4,81,0.444444444444444,0.407407407407407,0.0987654320987654,0.0493827160493827
"Robin","2022-10-27",0,49,32,8,89,0,0.550561797752809,0.359550561797753,0.0898876404494382
"Aurora","2022-10-28",47,24,0,7,78,0.602564102564103,0.307692307692308,0,0.0897435897435897
"Robin","2022-10-28",0,46,6,1,53,0,0.867924528301887,0.113207547169811,0.0188679245283019
"Aurora","2022-10-29",6,40,23,6,75,0.08,0.533333333333333,0.306666666666667,0.08
"Briar","2022-10-29",0,26,9,11,46,0,0.565217391304348,0.195652173913043,0.239130434782609
"Nutmeg","2022-10-29",11,6,7,9,33,0.333333333333333,0.181818181818182,0.212121212121212,0.272727272727273
"Robin","2022-10-29",17,86,0,0,103,0.16504854368932,0.83495145631068,0,0
"Aurora","2022-10-30",20,55,10,6,91,0.21978021978022,0.604395604395604,0.10989010989011,0.0659340659340659
"Briar","2022-10-30",86,30,0,0,116,0.741379310344828,0.258620689655172,0,0
"Nutmeg","2022-10-30",25,79,0,0,104,0.240384615384615,0.759615384615385,0,0
"Robin","2022-10-30",121,87,0,0,208,0.581730769230769,0.418269230769231,0,0
"Aurora","2022-10-31",22,44,9,1,76,0.289473684210526,0.578947368421053,0.118421052631579,0.0131578947368421
"Briar","2022-10-31",7,73,0,8,88,0.0795454545454545,0.829545454545455,0,0.0909090909090909
"Nutmeg","2022-10-31",0,57,6,2,65,0,0.876923076923077,0.0923076923076923,0.0307692307692308
"Robin","2022-10-31",0,77,7,3,87,0,0.885057471264368,0.0804597701149425,0.0344827586206897
"Aurora","2022-11-01",0,61,15,3,79,0,0.772151898734177,0.189873417721519,0.0379746835443038
"Briar","2022-11-01",5,74,15,4,98,0.0510204081632653,0.755102040816326,0.153061224489796,0.0408163265306122
"Nutmeg","2022-11-01",35,51,2,1,89,0.393258426966292,0.573033707865168,0.0224719101123595,0.0112359550561798
"Robin","2022-11-01",0,81,12,2,95,0,0.852631578947368,0.126315789473684,0.0210526315789474
"Aurora","2022-11-02",133,62,5,0,200,0.665,0.31,0.025,0
"Briar","2022-11-02",51,173,32,0,256,0.19921875,0.67578125,0.125,0
"Nutmeg","2022-11-02",32,60,15,1,108,0.296296296296296,0.555555555555556,0.138888888888889,0.00925925925925926
"Robin","2022-11-02",26,67,7,7,107,0.242990654205607,0.626168224299065,0.0654205607476635,0.0654205607476635
"Aurora","2022-11-03",0,38,55,4,97,0,0.391752577319588,0.56701030927835,0.0412371134020619
"Briar","2022-11-03",0,77,4,7,88,0,0.875,0.0454545454545455,0.0795454545454545
"Nutmeg","2022-11-03",16,70,6,1,93,0.172043010752688,0.752688172043011,0.0645161290322581,0.010752688172043
"Robin","2022-11-03",0,84,24,1,109,0,0.770642201834862,0.220183486238532,0.00917431192660551
"Aurora","2022-11-04",124,73,26,1,224,0.553571428571429,0.325892857142857,0.116071428571429,0.00446428571428571
"Briar","2022-11-04",108,93,11,13,225,0.48,0.413333333333333,0.0488888888888889,0.0577777777777778
"Nutmeg","2022-11-04",279,78,7,7,371,0.752021563342318,0.210242587601078,0.0188679245283019,0.0188679245283019
"Robin","2022-11-04",201,143,13,2,359,0.559888579387187,0.398328690807799,0.0362116991643454,0.00557103064066852
"Aurora","2022-11-05",126,80,10,4,220,0.572727272727273,0.363636363636364,0.0454545454545455,0.0181818181818182
"Briar","2022-11-05",109,135,24,3,271,0.402214022140221,0.498154981549816,0.0885608856088561,0.011070110701107
"Nutmeg","2022-11-05",359,173,0,0,532,0.674812030075188,0.325187969924812,0,0
"Robin","2022-11-05",17,254,9,12,292,0.0582191780821918,0.86986301369863,0.0308219178082192,0.0410958904109589
"Aurora","2022-11-06",401,89,0,0,490,0.818367346938776,0.181632653061225,0,0
"Briar","2022-11-06",11,59,11,28,109,0.100917431192661,0.541284403669725,0.100917431192661,0.256880733944954
"Nutmeg","2022-11-06",77,94,7,0,178,0.432584269662921,0.528089887640449,0.0393258426966292,0
"Robin","2022-11-06",22,52,23,20,117,0.188034188034188,0.444444444444444,0.196581196581197,0.170940170940171
"Aurora","2022-11-07",289,73,0,1,363,0.796143250688705,0.201101928374656,0,0.00275482093663912
"Briar","2022-11-07",81,98,39,11,229,0.353711790393013,0.427947598253275,0.170305676855895,0.0480349344978166
"Nutmeg","2022-11-07",171,97,4,0,272,0.628676470588235,0.356617647058824,0.0147058823529412,0
"Robin","2022-11-07",39,109,4,27,179,0.217877094972067,0.608938547486033,0.0223463687150838,0.150837988826816
"Aurora","2022-11-08",9,87,0,6,102,0.0882352941176471,0.852941176470588,0,0.0588235294117647
"Briar","2022-11-08",93,136,26,8,263,0.35361216730038,0.517110266159696,0.0988593155893536,0.0304182509505703
"Nutmeg","2022-11-08",109,54,14,4,181,0.602209944751381,0.298342541436464,0.0773480662983425,0.0220994475138122
"Robin","2022-11-08",6,12,45,23,86,0.0697674418604651,0.13953488372093,0.523255813953488,0.267441860465116
"Aurora","2022-11-09",160,58,2,2,222,0.720720720720721,0.261261261261261,0.00900900900900901,0.00900900900900901
"Briar","2022-11-09",106,64,9,0,179,0.592178770949721,0.357541899441341,0.0502793296089385,0
"Nutmeg","2022-11-09",87,85,4,6,182,0.478021978021978,0.467032967032967,0.021978021978022,0.032967032967033
"Robin","2022-11-09",83,30,6,3,122,0.680327868852459,0.245901639344262,0.0491803278688525,0.0245901639344262
"Aurora","2022-11-10",0,93,2,0,95,0,0.978947368421053,0.0210526315789474,0
"Briar","2022-11-10",27,24,42,6,99,0.272727272727273,0.242424242424242,0.424242424242424,0.0606060606060606
"Nutmeg","2022-11-10",35,21,15,1,72,0.486111111111111,0.291666666666667,0.208333333333333,0.0138888888888889
"Robin","2022-11-10",39,39,17,4,99,0.393939393939394,0.393939393939394,0.171717171717172,0.0404040404040404
"Aurora","2022-11-11",0,76,0,0,76,0,1,0,0
"Briar","2022-11-11",16,21,46,25,108,0.148148148148148,0.194444444444444,0.425925925925926,0.231481481481481
"Nutmeg","2022-11-11",0,38,26,0,64,0,0.59375,0.40625,0
"Robin","2022-11-11",0,45,48,5,98,0,0.459183673469388,0.489795918367347,0.0510204081632653
"Aurora","2022-11-12",0,53,15,0,68,0,0.779411764705882,0.220588235294118,0
"Briar","2022-11-12",39,23,36,8,106,0.367924528301887,0.216981132075472,0.339622641509434,0.0754716981132075
"Nutmeg","2022-11-12",19,68,19,1,107,0.177570093457944,0.635514018691589,0.177570093457944,0.00934579439252336
"Robin","2022-11-12",52,33,13,1,99,0.525252525252525,0.333333333333333,0.131313131313131,0.0101010101010101
"Aurora","2022-11-13",0,71,27,0,98,0,0.724489795918367,0.275510204081633,0
"Briar","2022-11-13",100,83,17,5,205,0.48780487804878,0.404878048780488,0.0829268292682927,0.024390243902439
"Nutmeg","2022-11-13",92,18,0,1,111,0.828828828828829,0.162162162162162,0,0.00900900900900901
"Robin","2022-11-13",148,83,4,2,237,0.624472573839662,0.350210970464135,0.0168776371308017,0.00843881856540084
"Aurora","2022-11-14",0,75,39,0,114,0,0.657894736842105,0.342105263157895,0
"Briar","2022-11-14",64,50,4,13,131,0.488549618320611,0.381679389312977,0.0305343511450382,0.099236641221374
"Nutmeg","2022-11-14",177,37,0,0,214,0.827102803738318,0.172897196261682,0,0
"Robin","2022-11-14",229,26,4,2,261,0.877394636015326,0.0996168582375479,0.0153256704980843,0.00766283524904215
"Aurora","2022-11-15",15,103,11,6,135,0.111111111111111,0.762962962962963,0.0814814814814815,0.0444444444444444
"Briar","2022-11-15",296,22,0,9,327,0.90519877675841,0.0672782874617737,0,0.0275229357798165
"Nutmeg","2022-11-15",293,23,0,5,321,0.912772585669782,0.0716510903426791,0,0.0155763239875389
"Robin","2022-11-15",331,0,0,0,331,1,0,0,0
"Aurora","2022-11-16",27,85,24,4,140,0.192857142857143,0.607142857142857,0.171428571428571,0.0285714285714286
