"cond((Int))","disp((Int))","cond(scale(elapsed))","cond(I(scale(elapsed)^2))","cond(social)","cond(scale(elapsed):social)","cond(I(scale(elapsed)^2):social)","df","logLik","AICc","delta","weight","model"
3081.76947405065,"+",399.0050126219,80.0457366262916,"+","+","+",11,-11390.2860446238,22802.7620173051,0,0.999639661719505,"distance daily"
3263.08514649347,"+",406.778273434043,-90.397748848646,"+","+",NA,9,-11400.2566477381,22818.642605821,15.8805885158799,0.000355973360076545,"distance daily"
3058.20770886441,"+",261.872707883588,87.7006494670535,"+",NA,"+",9,-11404.8594350037,22827.8481803523,25.0861630471663,3.56822627705199e-06,"distance daily"
3166.92896174804,"+",402.656565502851,NA,"+","+",NA,8,-11407.372471843,22830.8483176989,28.0863003937775,7.96124226284864e-07,"distance daily"
3248.04603453394,"+",262.237557837529,-91.5918118817624,"+",NA,NA,7,-11415.6281729987,22845.3366903304,42.574673025254,5.68683590836623e-10,"distance daily"
3150.68771638849,"+",258.496670047831,NA,"+",NA,NA,6,-11422.7737266646,22857.607668383,54.8456510778778,1.23101025004958e-12,"distance daily"
3013.79597423675,"+",NA,102.187151323974,"+",NA,"+",8,-11474.4289402905,22964.9612545939,162.199237288813,6.00795425345728e-36,"distance daily"
3205.06779909681,"+",NA,-78.5036580572989,"+",NA,NA,6,-11484.3669291543,22980.7940733623,178.032056057185,2.19115805204773e-39,"distance daily"
3122.02624172221,"+",NA,NA,"+",NA,NA,5,-11489.1346921987,22988.3123643402,185.550347035092,5.10619695841748e-41,"distance daily"
3.71665459800014,"+",-0.119197532403646,-0.0596641159721051,"+",NA,"+",9,-2200.78079348822,4419.69108337933,0,0.479988593711953,"roost displacement"
3.81802692375457,"+",-0.120622059103662,-0.157670049340617,"+",NA,NA,7,-2203.36671295031,4420.81388567073,1.12280229140742,0.273789946785608,"roost displacement"
3.72001258693537,"+",-0.0763720086666792,-0.0607179787244525,"+","+","+",11,-2199.86666481501,4421.92353135913,2.2324479798026,0.157203060811747,"roost displacement"
3.82059764891877,"+",-0.07448374004248,-0.15782520182713,"+","+",NA,9,-2202.48129760893,4423.09209162074,3.40100824141064,0.0876418146126024,"roost displacement"
3.72606422673803,"+",NA,-0.0626206487300958,"+",NA,"+",8,-2208.07263092655,4432.24878449867,12.5577011193473,0.000900245100221773,"roost displacement"
3.83014724003461,"+",NA,-0.163145480639164,"+",NA,NA,6,-2210.80765692885,4433.67561536523,13.984531985906,0.000441091186662041,"roost displacement"
3.65447955449164,"+",-0.126440072946587,NA,"+",NA,NA,6,-2213.60738542438,4439.27507235631,19.5839889769786,2.68300661782832e-05,"roost displacement"
3.65712923864138,"+",-0.0775610245729876,NA,"+","+",NA,8,-2212.74769566552,4441.59891397662,21.9078305972962,8.3947148294138e-06,"roost displacement"
3.66122547263545,"+",NA,NA,"+",NA,NA,5,-2221.67735625052,4453.39775410793,33.7066707286021,2.30101985802728e-08,"roost displacement"
17.2248888510466,"+",0.657960875392979,1.20798893674307,"+","+","+",11,-3648.29332249868,7318.77684672646,0,0.984463405703249,"release fidelity"
17.6876889943135,"+",0.668256360279475,0.763937391270074,"+","+",NA,9,-3654.47257372505,7327.07464385297,8.29779712650452,0.0155365942967466,"release fidelity"
18.4833233213336,"+",0.685636265664331,NA,"+","+",NA,8,-3684.45808614156,7385.0196949287,66.2428482022397,4.06207424835308e-15,"release fidelity"
17.2865647750725,"+",1.31003132975515,1.18957269619252,"+",NA,"+",9,-3779.79806777451,7577.7256319519,258.948785225441,5.79675997177826e-57,"release fidelity"
17.697154310038,"+",1.30592915779425,0.794201397367123,"+",NA,NA,7,-3783.07281828393,7580.22609633798,261.449249611516,1.66041395683873e-57,"release fidelity"
18.5227074677342,"+",1.33521311857246,NA,"+",NA,NA,6,-3810.07036305701,7632.20102762156,313.424180895092,8.59020342232475e-69,"release fidelity"
17.174410547786,"+",NA,1.22401015411563,"+",NA,"+",8,-3867.04881859345,7750.20115983248,431.424313106015,2.04456210381244e-94,"release fidelity"
17.5581186030637,"+",NA,0.854098580787081,"+",NA,NA,6,-3869.44167769847,7750.94365690448,432.166810178021,1.41048709248512e-94,"release fidelity"
18.4447536885328,"+",NA,NA,"+",NA,NA,5,-3896.97976783811,7804.00257728311,485.225730556649,4.24395673798891e-106,"release fidelity"
2.83869595430792,"+",0.0402072461941089,-0.146593775343393,"+","+","+",11,-1313.30537864061,2648.80041245364,0,0.976917410049195,"home range"
2.94177584757209,"+",0.0440168893057952,-0.245030845335711,"+","+",NA,9,-1319.08096727914,2656.29105937894,7.49064692529555,0.0230825899508047,"home range"
2.83946440661522,"+",0.0445516811332494,-0.146840640936361,"+",NA,"+",9,-1350.17748598174,2718.48409678415,69.6836843305041,7.215028612409e-16,"home range"
2.83343866941079,"+",NA,-0.144730344352763,"+",NA,"+",8,-1353.69819285479,2723.49961151602,74.6991990623824,5.87669121481843e-17,"home range"
2.94468571990495,"+",0.0445171847185992,-0.247701308023392,"+",NA,NA,7,-1355.88150426841,2725.84323776318,77.0428253095383,1.82062666158905e-17,"home range"
2.93866007900127,"+",NA,-0.245560559344833,"+",NA,NA,6,-1359.36887674014,2730.79788232782,81.9974698741735,1.52873954955572e-18,"home range"
2.68564319931249,"+",0.0347967514795197,NA,"+","+",NA,8,-1404.26712056274,2824.63746693194,175.837054478297,6.4169198143125e-39,"home range"
2.68591695969983,"+",0.0349067986544929,NA,"+",NA,NA,6,-1438.56874390561,2889.19761665875,240.39720420511,6.14141186630908e-53,"home range"
2.68303024609089,"+",NA,NA,"+",NA,NA,5,-1440.4777999133,2890.99851828153,242.198105827893,2.49578635024679e-53,"home range"
