"cond((Int))","disp((Int))","cond(period)","cond(scale(as.numeric(date)))","cond(I(scale(as.numeric(date))^2))","cond(period:scale(as.numeric(date)))","cond(I(scale(as.numeric(date))^2):period)","df","logLik","AICc","delta","weight","model"
2814.76260438241,"+","+",-2215.8282546001,-1540.40905766939,"+","+",8,-7915.41766314635,15846.9878686656,0,0.999780846423607,"distance daily"
2983.66807842126,"+","+",-1527.42092102973,-1117.53825093223,NA,"+",7,-7924.86019524691,15863.8389090123,16.8510403467535,0.000219153239089132,"distance daily"
3051.48626745297,"+","+",-991.804215932235,-718.341313035425,"+",NA,7,-7938.24973625423,15890.617991027,43.6301223613955,3.35539860178668e-10,"distance daily"
3358.48279978099,"+","+",NA,-179.301245402149,NA,"+",6,-7944.51481666843,15901.1184282629,54.1305595972699,1.76036670013922e-12,"distance daily"
3258.1243357288,"+","+",77.6295957107151,NA,"+",NA,6,-7950.81214595753,15913.7130868411,66.7252181754757,3.24121457886731e-15,"distance daily"
3374.42629413856,"+","+",393.352698910873,151.228424013203,NA,NA,6,-7957.76385149494,15927.6164979159,80.6286292503046,3.10184740518178e-18,"distance daily"
3517.31395877655,"+","+",400.232901885273,NA,NA,NA,5,-7966.20345614082,15942.4702702542,95.4824015885988,1.84571545161982e-21,"distance daily"
3053.76839938819,"+","+",NA,156.738766022034,NA,NA,5,-7975.52541910754,15961.1141961876,114.126327522039,1.65077419380874e-25,"distance daily"
3196.292535435,"+","+",NA,NA,NA,NA,4,-7984.26475851048,15976.5717111138,129.583842448203,7.26324933223268e-29,"distance daily"
2955.81320459388,"+",NA,NA,116.742001004894,NA,NA,4,-7989.40318575375,15986.8485656003,139.86069693474,4.26128278354717e-31,"distance daily"
2937.95773576962,"+",NA,-47.8250631766044,126.013650119073,NA,NA,5,-7988.51954119878,15987.1024403701,140.114571704518,3.75329024125586e-31,"distance daily"
3078.54705560161,"+",NA,NA,NA,NA,NA,3,-7994.3266352982,15994.6785603751,147.690691709533,8.49725386374628e-33,"distance daily"
3074.22774506901,"+",NA,-25.5850253549245,NA,NA,NA,4,-7994.06768539538,15996.1775648836,149.189696217993,4.01581687386742e-33,"distance daily"
3.97993699618739,"+","+",1.02437365560228,0.43195296683555,"+",NA,7,-1487.4244783081,2988.96722483163,0,0.627029388516228,"roost displacement"
3.94577998468458,"+","+",0.855606322054555,0.319214025593039,"+","+",8,-1487.1117851107,2990.37579009455,1.40856526291873,0.310042932464745,"roost displacement"
3.84906628783891,"+","+",0.377750999204405,NA,"+",NA,6,-1490.81272135399,2993.71405030291,4.74682547128714,0.0584154655319333,"roost displacement"
3.72873697669489,"+","+",NA,-0.200043917310162,NA,NA,5,-1495.14530336977,3000.35383118633,11.3866063547043,0.0021121158843424,"roost displacement"
3.74016479099801,"+","+",0.0149119142013844,-0.200106813013882,NA,NA,6,-1495.12514458406,3002.33889676306,13.3716719314339,0.000782827781215222,"roost displacement"
3.73323947347406,"+","+",NA,-0.205410680042289,NA,"+",6,-1495.13891070996,3002.36642901485,13.3992041832257,0.000772125111590926,"roost displacement"
3.84354920208822,"+",NA,0.121263165960375,-0.193538083459235,NA,NA,5,-1496.51401393754,3003.09125232187,14.1240274902425,0.000537395834548512,"roost displacement"
3.75851760937883,"+","+",0.101760270065514,-0.143015195173405,NA,"+",7,-1495.07617644121,3004.27062109783,15.3033962662066,0.000297987207296894,"roost displacement"
3.82061453914094,"+",NA,NA,-0.170579380705201,NA,NA,4,-1501.54576207047,3011.1336294041,22.1664045724756,9.63638852328637e-06,"roost displacement"
3.56091174193063,"+","+",NA,NA,NA,NA,4,-1506.55114690734,3021.14439907784,32.1771742462097,6.45807801763513e-08,"roost displacement"
3.65021377675932,"+",NA,0.0903501274184889,NA,NA,NA,4,-1507.26241664036,3022.56693854389,33.5997137122595,3.17104764290626e-08,"roost displacement"
3.5702383078179,"+","+",0.0122264995896183,NA,NA,NA,5,-1506.53791428057,3023.13905300793,34.1718281763046,2.3821532081543e-08,"roost displacement"
3.65021377678902,"+",NA,NA,NA,NA,NA,3,-1510.08524689172,3026.19573037649,37.2285055448633,5.16678788556344e-09,"roost displacement"
6.02964078240517,"+","+",-1.27729313606024,-0.570577030482125,"+","+",8,-172.832638064791,361.817496002733,0,0.986831544409389,"release fidelity"
6.06731627240008,"+","+",-1.12397343247863,-0.476379585205894,NA,"+",7,-178.166289002516,370.45084622045,8.63335021771718,0.0131684555906107,"release fidelity"
6.15751561306116,"+","+",-0.622080556912166,-0.130762445347622,"+",NA,7,-243.348758760755,500.815785736928,138.998289734195,6.47363055063566e-31,"release fidelity"
6.19518550010529,"+","+",-0.427483325971027,NA,"+",NA,6,-247.652545588518,507.393698771974,145.576202769241,2.41419443148938e-32,"release fidelity"
6.25996783450096,"+","+",-0.183699386300597,0.144470829635103,NA,NA,6,-263.38607014297,538.860747880876,177.043251878144,3.54641331595845e-39,"release fidelity"
6.34500931665839,"+","+",NA,0.213469917441316,NA,"+",6,-288.496195059626,589.080997714188,227.263501711455,4.41164601345921e-50,"release fidelity"
6.40969777482206,"+","+",NA,0.141835598085597,NA,NA,5,-302.001199733399,614.065623913585,252.248127910852,1.65675394106139e-55,"release fidelity"
6.06569878356139,"+",NA,-0.379985283880071,0.133367559470806,NA,NA,5,-323.628179225558,657.319582897903,295.50208689517,6.71089059400571e-65,"release fidelity"
6.39588019958153,"+","+",-0.177048325395342,NA,NA,NA,5,-336.821943460196,683.707111367178,321.889615364445,1.24968672373095e-70,"release fidelity"
6.53669887159749,"+","+",NA,NA,NA,NA,4,-367.859838998003,743.761783259163,381.944287256431,1.13787576689931e-83,"release fidelity"
6.20914952218697,"+",NA,-0.356770653001744,NA,NA,NA,4,-380.228872013417,768.499849289993,406.68235328726,4.83383768709041e-89,"release fidelity"
6.19631850492757,"+",NA,NA,0.0607024240677561,NA,NA,4,-686.016678340386,1380.07546194393,1018.2579659412,7.62667328480994e-222,"release fidelity"
6.25903096575074,"+",NA,NA,NA,NA,NA,3,-692.023263599842,1390.07176379274,1028.25426779001,5.14832287958091e-224,"release fidelity"
2.5865463553604,"+","+",-0.530233774327629,-0.638138296468846,"+",NA,7,-858.862472224551,1731.84321266452,0,0.697939273409614,"home range"
2.57380863247394,"+","+",-0.595537782828944,-0.681978579121535,"+","+",8,-858.683000829129,1733.51822153141,1.67500886688867,0.302060601567957,"home range"
2.72093577937663,"+","+",NA,-0.316467552767153,NA,"+",6,-875.7849829935,1763.65857358194,31.8153609174171,8.61389936978531e-08,"home range"
2.71373467602667,"+","+",-0.0292188173498886,-0.334409203903354,NA,"+",7,-875.765533217612,1765.64933465064,33.8061219861227,3.18354886571747e-08,"home range"
2.77970348507596,"+","+",0.292398299464275,-0.122083331042216,NA,NA,6,-878.288724147444,1768.66605588982,36.8228432253045,7.04431595027795e-09,"home range"
2.77251564754253,"+","+",0.420713467107623,NA,"+",NA,6,-886.439397348767,1784.96740229247,53.124189627951,2.03257430684053e-12,"home range"
2.63840629387718,"+",NA,0.148902485168084,-0.130444678519154,NA,NA,5,-887.694483606523,1785.45219165983,53.6089789953123,1.59505534935072e-12,"home range"
2.66597595639027,"+","+",0.28729286666943,NA,NA,NA,5,-893.737562491913,1797.53834943061,65.6951367660934,3.78704045330591e-15,"home range"
