"id1","id2","to","t_min","t_max","prox"
"Aurora","Briar",TRUE,2023-01-16 00:05:55,2023-03-11 06:19:16,0.356742229492872
"Aurora","Brook",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.386754482253933
"Aurora","Clover",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.00194476857253987
"Aurora","Iona",TRUE,2023-01-16 00:05:55,2023-06-06 23:44:11,0.0208601804123711
"Aurora","Koda",TRUE,2023-01-16 00:07:23,2023-06-06 23:16:19,0.0217301932225289
"Aurora","Marmalade",TRUE,2023-01-16 00:45:27,2023-06-06 23:36:37,0.0205618068485388
"Aurora","Nutmeg",TRUE,2023-01-16 00:05:55,2023-06-06 23:53:48,0.393527742558715
"Aurora","Prem",TRUE,2023-01-16 00:05:55,2023-03-13 09:51:15,0.000236406619385343
"Aurora","Robin",TRUE,2023-01-16 00:05:55,2023-06-06 23:51:45,0.42670738478623
"Aurora","Rove",TRUE,2023-01-16 00:05:55,2023-03-14 10:47:23,0.000403985995152168
"Aurora","Sage",TRUE,2023-01-16 00:05:55,2023-06-06 23:02:05,0.0286101862128499
"Aurora","Valentine",TRUE,2023-01-16 00:13:52,2023-06-06 23:53:48,0.37307333859058
"Briar","Brook",TRUE,2023-01-17 08:43:23,2023-03-11 06:19:16,0.329888027562446
"Briar","Clover",TRUE,2023-01-17 11:24:10,2023-03-11 06:19:16,0
"Briar","Iona",TRUE,2023-01-16 00:00:57,2023-03-11 06:19:16,0
"Briar","Koda",TRUE,2023-01-16 00:07:23,2023-03-11 06:19:16,0.00176476694695318
"Briar","Marmalade",TRUE,2023-01-16 00:45:27,2023-03-11 06:19:16,0
"Briar","Nutmeg",TRUE,2023-01-16 00:04:11,2023-03-11 06:19:16,0.526911598229906
"Briar","Prem",TRUE,2023-01-16 00:04:49,2023-03-11 06:19:16,0
"Briar","Robin",TRUE,2023-01-16 00:02:19,2023-03-11 06:19:16,0.411764705882353
"Briar","Rove",TRUE,2023-01-16 00:05:17,2023-03-11 06:19:16,0
"Briar","Sage",TRUE,2023-01-16 00:03:57,2023-03-11 06:19:16,0.000488698839340257
"Briar","Valentine",TRUE,2023-01-16 00:13:52,2023-03-11 06:19:16,0.350774967952453
"Brook","Clover",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,8.8121254846669e-05
"Brook","Iona",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.0223735408560311
"Brook","Koda",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.0194327014864312
"Brook","Marmalade",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.0201847682633336
"Brook","Nutmeg",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.37204596372046
"Brook","Prem",TRUE,2023-01-17 08:43:23,2023-03-13 09:51:15,0
"Brook","Robin",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.382658185470372
"Brook","Rove",TRUE,2023-01-17 08:43:23,2023-03-14 10:47:23,0
"Brook","Sage",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.0265418146593478
"Brook","Valentine",TRUE,2023-01-17 08:43:23,2023-06-04 00:58:10,0.404657717125269
"Clover","Iona",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.134077190415219
"Clover","Koda",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.0861309851403412
"Clover","Marmalade",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.60511791269443
"Clover","Nutmeg",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.00487445967074404
"Clover","Prem",TRUE,2023-01-17 11:24:10,2023-03-13 09:51:15,0.048738379814077
"Clover","Robin",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.00073827980804725
"Clover","Rove",TRUE,2023-01-17 11:24:10,2023-03-14 10:47:23,0.0599972478326682
"Clover","Sage",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.133023422134811
"Clover","Valentine",TRUE,2023-01-17 11:24:10,2023-04-28 09:46:23,0.0570394207562349
