"id1","id2","prox"
"Athena","Aurora",0.2104
"Athena","Avery",0.0735
"Athena","Daisy",0.001
"Athena","Dawn",0.1193
"Athena","Fauna",0.0514
"Athena","Freckle",0.1585
"Athena","Iona",0.2452
"Athena","Jessie",0.2491
"Athena","Juniper",0.2118
"Athena","Kit",0.2146
"Athena","Koda",0.1938
"Athena","Loki",0.0996
"Athena","Maeve",0.0483
"Athena","Marmalade",0.2275
"Athena","Nutmeg",0.1644
"Athena","Riley",0.2054
"Athena","River",0.2222
"Athena","Robin",0.2379
"Athena","Rocky",0.127
"Athena","Rory",0.0511
"Athena","Rowan",0.0404
"Athena","Sage",0.1383
"Athena","Sofi",0.0838
"Athena","Sparkles",0.1823
"Athena","Timber",0.2476
"Athena","Valentine",0.2799
"Athena","Zeus",0.0493
"Aurora","Avery",0.037
"Aurora","Daisy",0.003
"Aurora","Dawn",0.1073
"Aurora","Fauna",0.0388
"Aurora","Freckle",0.1511
"Aurora","Iona",0.3097
"Aurora","Jessie",0.2256
"Aurora","Juniper",0.2438
"Aurora","Kit",0.1819
"Aurora","Koda",0.1871
"Aurora","Loki",0.0352
"Aurora","Maeve",0.0314
"Aurora","Marmalade",0.2003
"Aurora","Nutmeg",0.1341
"Aurora","Riley",0.1855
"Aurora","River",0.1706
"Aurora","Robin",0.241
"Aurora","Rocky",0.0798
"Aurora","Rory",0.0478
"Aurora","Rowan",0.0343
"Aurora","Sage",0.2029
"Aurora","Sofi",0.0625
"Aurora","Sparkles",0.197
"Aurora","Timber",0.2113
"Aurora","Valentine",0.2458
"Aurora","Zeus",0.0203
"Avery","Daisy",8e-04
"Avery","Dawn",0.1405
"Avery","Fauna",0.2478
"Avery","Freckle",0.0316
"Avery","Iona",0.0892
"Avery","Jessie",0.0537
"Avery","Juniper",0.0413
"Avery","Kit",0.0401
"Avery","Koda",0.0418
"Avery","Loki",0.2066
"Avery","Maeve",0.1958
"Avery","Marmalade",0.0599
"Avery","Nutmeg",0.0525
"Avery","Riley",0.0928
"Avery","River",0.0863
"Avery","Robin",0.0437
"Avery","Rocky",0.1789
"Avery","Rory",0.3094
"Avery","Rowan",0.2353
"Avery","Sage",0.1485
"Avery","Sofi",0.2054
"Avery","Sparkles",0.0667
"Avery","Timber",0.057
"Avery","Valentine",0.0645
"Avery","Zeus",0.2051
"Daisy","Dawn",0.0034
"Daisy","Fauna",0.0115
"Daisy","Freckle",0.0029
"Daisy","Iona",0.001
"Daisy","Jessie",0.0365
"Daisy","Juniper",0.0166
"Daisy","Kit",0.0392
"Daisy","Koda",9e-04
"Daisy","Loki",0.0135
"Daisy","Maeve",0.0295
"Daisy","Marmalade",0.0011
"Daisy","Nutmeg",0.0113
"Daisy","Riley",7e-04
"Daisy","River",6e-04
"Daisy","Robin",0.0041
"Daisy","Rocky",0.0216
"Daisy","Rory",0.0046
"Daisy","Rowan",0.0031
"Daisy","Sage",0.0114
"Daisy","Sofi",0
"Daisy","Sparkles",0.0405
"Daisy","Timber",0.0278
"Daisy","Valentine",8e-04
"Daisy","Zeus",0.0107
"Dawn","Fauna",0.0957
"Dawn","Freckle",0.1036
"Dawn","Iona",0.1468
"Dawn","Jessie",0.1655
"Dawn","Juniper",0.1249
"Dawn","Kit",0.0611
"Dawn","Koda",0.1001
"Dawn","Loki",0.0894
"Dawn","Maeve",0.0684
"Dawn","Marmalade",0.2014
"Dawn","Nutmeg",0.0846
"Dawn","Riley",0.1057
"Dawn","River",0.1845
"Dawn","Robin",0.0926
"Dawn","Rocky",0.0893
"Dawn","Rory",0.0977
"Dawn","Rowan",0.0647
"Dawn","Sage",0.1076
"Dawn","Sofi",0.1146
"Dawn","Sparkles",0.0897
"Dawn","Timber",0.118
"Dawn","Valentine",0.1541
"Dawn","Zeus",0.0863
"Fauna","Freckle",0.043
"Fauna","Iona",0.0696
"Fauna","Jessie",0.0483
"Fauna","Juniper",0.0475
"Fauna","Kit",0.0413
"Fauna","Koda",0.0196
"Fauna","Loki",0.3151
"Fauna","Maeve",0.1782
"Fauna","Marmalade",0.0244
"Fauna","Nutmeg",0.0606
"Fauna","Riley",0.0269
"Fauna","River",0.0502
"Fauna","Robin",0.0427
"Fauna","Rocky",0.2806
"Fauna","Rory",0.2731
"Fauna","Rowan",0.4237
"Fauna","Sage",0.1045
"Fauna","Sofi",0.321
"Fauna","Sparkles",0.0814
"Fauna","Timber",0.0742
"Fauna","Valentine",0.0578
"Fauna","Zeus",0.2911
"Freckle","Iona",0.2049
"Freckle","Jessie",0.1832
"Freckle","Juniper",0.1508
"Freckle","Kit",0.1297
"Freckle","Koda",0.1586
"Freckle","Loki",0.0512
"Freckle","Maeve",0.0331
"Freckle","Marmalade",0.1954
"Freckle","Nutmeg",0.1219
"Freckle","Riley",0.2088
"Freckle","River",0.1584
"Freckle","Robin",0.1928
"Freckle","Rocky",0.0988
"Freckle","Rory",0.0437
"Freckle","Rowan",0.0464
"Freckle","Sage",0.1815
"Freckle","Sofi",0.118
"Freckle","Sparkles",0.1487
"Freckle","Timber",0.2122
"Freckle","Valentine",0.2163
"Freckle","Zeus",0.0395
"Iona","Jessie",0.2594
"Iona","Juniper",0.1954
"Iona","Kit",0.2281
"Iona","Koda",0.2498
"Iona","Loki",0.0561
"Iona","Maeve",0.0205
"Iona","Marmalade",0.2844
"Iona","Nutmeg",0.1772
"Iona","Riley",0.2255
"Iona","River",0.2154
"Iona","Robin",0.3019
"Iona","Rocky",0.1016
"Iona","Rory",0.068
"Iona","Rowan",0.0534
"Iona","Sage",0.2941
"Iona","Sofi",0.1069
"Iona","Sparkles",0.216
"Iona","Timber",0.321
"Iona","Valentine",0.3447
"Iona","Zeus",0.0386
"Jessie","Juniper",0.3295
"Jessie","Kit",0.2611
"Jessie","Koda",0.1845
"Jessie","Loki",0.0871
"Jessie","Maeve",0.0645
"Jessie","Marmalade",0.1851
"Jessie","Nutmeg",0.156
"Jessie","Riley",0.2051
"Jessie","River",0.2323
"Jessie","Robin",0.1828
"Jessie","Rocky",0.1427
"Jessie","Rory",0.0412
"Jessie","Rowan",0.0434
"Jessie","Sage",0.0437
"Jessie","Sofi",0.0604
"Jessie","Sparkles",0.3942
"Jessie","Timber",0.3038
"Jessie","Valentine",0.2564
"Jessie","Zeus",0.029
"Juniper","Kit",0.2432
"Juniper","Koda",0.1704
"Juniper","Loki",0.0718
"Juniper","Maeve",0.0366
"Juniper","Marmalade",0.1684
"Juniper","Nutmeg",0.1661
"Juniper","Riley",0.1587
"Juniper","River",0.203
"Juniper","Robin",0.1807
"Juniper","Rocky",0.0831
"Juniper","Rory",0.0357
"Juniper","Rowan",0.0438
"Juniper","Sage",0.1378
"Juniper","Sofi",0.0435
"Juniper","Sparkles",0.3046
"Juniper","Timber",0.2164
"Juniper","Valentine",0.2143
"Juniper","Zeus",0.0215
"Kit","Koda",0.1922
"Kit","Loki",0.0814
"Kit","Maeve",0.063
"Kit","Marmalade",0.1634
"Kit","Nutmeg",0.1535
"Kit","Riley",0.1914
"Kit","River",0.1925
"Kit","Robin",0.2017
"Kit","Rocky",0.1195
"Kit","Rory",0.0479
"Kit","Rowan",0.0367
"Kit","Sage",0.0494
"Kit","Sofi",0.0499
"Kit","Sparkles",0.2659
"Kit","Timber",0.242
"Kit","Valentine",0.198
"Kit","Zeus",0.0226
"Koda","Loki",0.0493
"Koda","Maeve",0.0384
"Koda","Marmalade",0.1864
"Koda","Nutmeg",0.1327
"Koda","Riley",0.1585
"Koda","River",0.1806
"Koda","Robin",0.1916
"Koda","Rocky",0.1042
"Koda","Rory",0.0273
"Koda","Rowan",0.0349
"Koda","Sage",0.236
"Koda","Sofi",0.0889
"Koda","Sparkles",0.1624
"Koda","Timber",0.2124
"Koda","Valentine",0.2266
"Koda","Zeus",0.0315
"Loki","Maeve",0.1639
"Loki","Marmalade",0.0398
"Loki","Nutmeg",0.0438
"Loki","Riley",0.0931
"Loki","River",0.0512
"Loki","Robin",0.0483
"Loki","Rocky",0.2362
"Loki","Rory",0.1914
"Loki","Rowan",0.3023
"Loki","Sage",0.0941
"Loki","Sofi",0.2001
"Loki","Sparkles",0.0939
"Loki","Timber",0.0717
"Loki","Valentine",0.0725
"Loki","Zeus",0.1882
"Maeve","Marmalade",0.0353
"Maeve","Nutmeg",0.0264
"Maeve","Riley",0.0589
"Maeve","River",0.0534
"Maeve","Robin",0.0313
"Maeve","Rocky",0.1206
"Maeve","Rory",0.2143
"Maeve","Rowan",0.1643
"Maeve","Sage",0.0429
"Maeve","Sofi",0.1561
"Maeve","Sparkles",0.088
"Maeve","Timber",0.081
"Maeve","Valentine",0.0294
"Maeve","Zeus",0.1993
"Marmalade","Nutmeg",0.4381
"Marmalade","Riley",0.166
"Marmalade","River",0.2067
"Marmalade","Robin",0.2175
"Marmalade","Rocky",0.101
"Marmalade","Rory",0.0383
"Marmalade","Rowan",0.0645
"Marmalade","Sage",0.3377
"Marmalade","Sofi",0.102
"Marmalade","Sparkles",0.1443
"Marmalade","Timber",0.2449
"Marmalade","Valentine",0.2736
"Marmalade","Zeus",0.0526
"Nutmeg","Riley",0.1262
"Nutmeg","River",0.1407
"Nutmeg","Robin",0.1533
"Nutmeg","Rocky",0.083
"Nutmeg","Rory",0.048
"Nutmeg","Rowan",0.0438
"Nutmeg","Sage",0.1302
"Nutmeg","Sofi",0.0857
"Nutmeg","Sparkles",0.1343
