"id1","id2","prox"
"Aurora","Briar",0.3204
"Aurora","Brook",0.3436
"Aurora","Clover",0.0031
"Aurora","Iona",0.0326
"Aurora","Koda",0.0339
"Aurora","Marmalade",0.0296
"Aurora","Nutmeg",0.2908
"Aurora","Prem",0
"Aurora","Robin",0.3296
"Aurora","Rove",6e-04
"Aurora","Sage",0.042
"Aurora","Valentine",0.2869
"Briar","Brook",0.3189
"Briar","Clover",0
"Briar","Iona",0
"Briar","Koda",0.0014
"Briar","Marmalade",0
"Briar","Nutmeg",0.4394
"Briar","Prem",0
"Briar","Robin",0.3366
"Briar","Rove",0
"Briar","Sage",2e-04
"Briar","Valentine",0.3195
"Brook","Clover",2e-04
"Brook","Iona",0.0263
"Brook","Koda",0.0263
"Brook","Marmalade",0.024
"Brook","Nutmeg",0.3173
"Brook","Prem",0
"Brook","Robin",0.3385
"Brook","Rove",3e-04
"Brook","Sage",0.0346
"Brook","Valentine",0.3419
"Clover","Iona",0.1625
"Clover","Koda",0.0962
"Clover","Marmalade",0.5321
"Clover","Nutmeg",0.0075
"Clover","Prem",0.0439
"Clover","Robin",0.0012
"Clover","Rove",0.0634
"Clover","Sage",0.1358
"Clover","Valentine",0.0741
"Iona","Koda",0.1156
"Iona","Marmalade",0.2358
"Iona","Nutmeg",0.0404
"Iona","Prem",0.0924
"Iona","Robin",0.0298
"Iona","Rove",0.6871
"Iona","Sage",0.1605
"Iona","Valentine",0.1263
"Koda","Marmalade",0.1298
"Koda","Nutmeg",0.0359
"Koda","Prem",0.2819
"Koda","Robin",0.0323
"Koda","Rove",0.0482
"Koda","Sage",0.3026
"Koda","Valentine",0.0897
"Marmalade","Nutmeg",0.039
"Marmalade","Prem",0.1375
"Marmalade","Robin",0.0266
"Marmalade","Rove",0.1513
"Marmalade","Sage",0.1837
"Marmalade","Valentine",0.1244
"Nutmeg","Prem",0
"Nutmeg","Robin",0.2886
"Nutmeg","Rove",0
"Nutmeg","Sage",0.041
"Nutmeg","Valentine",0.2594
"Prem","Robin",7e-04
"Prem","Rove",0.1015
"Prem","Sage",0.3749
"Prem","Valentine",3e-04
"Robin","Rove",4e-04
"Robin","Sage",0.0365
"Robin","Valentine",0.2648
"Rove","Sage",0.0754
"Rove","Valentine",0
"Sage","Valentine",0.1191
